n_episode :7960, score : 369.2, n_buffer : 50000, eps : 1.0%
n_episode :7980, score : 483.2, n_buffer : 50000, eps : 1.0%
n_episode :8000, score : 400.9, n_buffer : 50000, eps : 1.0%
n_episode :8020, score : 472.9, n_buffer : 50000, eps : 1.0%
n_episode :8040, score : 468.3, n_buffer : 50000, eps : 1.0%
n_episode :8060, score : 288.8, n_buffer : 50000, eps : 1.0%
n_episode :8080, score : 227.8, n_buffer : 50000, eps : 1.0%
n_episode :8100, score : 230.1, n_buffer : 50000, eps : 1.0%
n_episode :8120, score : 212.8, n_buffer : 50000, eps : 1.0%
n_episode :8140, score : 290.6, n_buffer : 50000, eps : 1.0%
n_episode :8160, score : 129.5, n_buffer : 50000, eps : 1.0%
n_episode :8180, score : 295.8, n_buffer : 50000, eps : 1.0%
n_episode :8200, score : 297.0, n_buffer : 50000, eps : 1.0%
n_episode :8220, score : 263.2, n_buffer : 50000, eps : 1.0%
n_episode :8240, score : 361.9, n_buffer : 50000, eps : 1.0%
n_episode :8260, score : 283.2, n_buffer : 50000, eps : 1.0%
